,location_name,lat,lon,location_type,M1,MyRepublic,Singtel,StarHub
173,Housing and Development Board,1.34087589686517,103.943710852675,F&B,True,False,False,False
28,Academia @SGH - DN - L13,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
1617,Ng Teng Fong Hospital - Clinic_Tower(SOC)_LIFT,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
323,Beach Station,1.25120856794009,103.817534549181,Others,True,False,False,False
1320,Telok Blangah Blangah View RC,1.27349302836712,103.80974464133,Community,True,False,False,False
1412,Tampines North Zone 6 RC,1.36300828886632,103.952704907495,Community,True,False,False,False
1226,Singhealth - SHBM - Connection One - Tower 3 Level 4,1.28331164506167,103.818864967107,Healthcare,True,False,False,False
803,Outram Polyclinic - Level 4,1.2793314591479,103.838315054028,Healthcare,True,False,False,False
530,KFC CHOA CHU KANG LOT 1,1.38506835667563,103.744950384161,F&B,True,False,False,False
467,Moulmein Farrer Park RC,1.311600755426,103.851400083055,Community,True,False,False,False
174,Housing and Development Board,1.35105564836158,103.891768778339,F&B,True,False,False,False
1561,Zion Riverside Food Centre,1.29231112415878,103.830973318264,F&B,False,False,True,False
659,Pizza Hut Ghim Moh Delco,1.31008117389536,103.788532897544,F&B,True,False,False,False
33,Clementi Zone 4 RC,1.31291218773843,103.762860978505,Community,True,False,False,False
515,KFC ADMIRALTY PLACE,1.44041529803398,103.801489472558,F&B,True,False,False,False
1098,SGH BLK5 - L01,1.27993968247,103.830721777631,Healthcare,True,False,False,False
1464,MGS Venture Pte Ltd,1.33696571682713,103.759665477436,Commercial,False,True,False,False
806,PPIS FSC (West),1.35676941969608,103.748774260252,Welfare Organisation,True,False,False,False
1187,Tampines East Zone 1 RC (Cafe Corner),1.35187111509964,103.952659475483,Community,True,False,False,False
181,Housing and Development Board (amk5036),1.37229330028483,103.861759521413,F&B,True,False,False,False
257,Chong Pang Zone 1 RC,1.43232354853528,103.829071976016,Community,True,False,False,False
1044,SGH BLK 2 - L02,1.27993968247,103.830721777631,Healthcare,True,False,False,False
227,Changi General Hospital - Medical Centre L8,1.33945829071163,103.949301399568,Healthcare,True,False,False,False
675,National Heart Centre Singapore - W - L02,1.27863260198985,103.835954418501,Healthcare,True,False,False,False
1422,McDonald's Bukit Panjang Plaza,1.38051732815914,103.763961852618,F&B,False,False,True,False
1123,Woodlands Civic Centre,1.43507788583776,103.786619621971,Government,True,False,False,False
1204,Singapore National Eye Centre NEW - L03,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1357,Dhoby Ghaut MRT - NSL,1.2987013021066,103.846115156474,Public Transport,False,False,True,False
886,SGH Bowyer Block - L02C,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
844,Pizza Hut Toa Payoh 2,1.33628535356382,103.848428648728,F&B,True,False,False,False
4,7 Star Canteen,1.3992285612873,103.88965392915,F&B,True,False,False,False
1381,KPMG - CH,1.28121591124621,103.849770967655,Commercial,False,False,True,False
189,Housing and Development Board (eun029),1.32136562138923,103.895714334392,F&B,True,False,False,False
1201,Singapore National Eye Centre HPB L3,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1166,THK Senior Activity Centre @ Boon Lay,1.34507675973785,103.711850430873,Welfare Organisation,True,False,False,False
1394,LTA-MCE (Ventilation Building),1.28354890180439,103.877909588892,Government,False,False,True,False
85,Fengshan Topaz RC,1.33288899508459,103.941309739956,Community,True,False,False,False
1460,Jacobamanda (SG) Pte Ltd,1.28045006075085,103.84798080348,Commercial,False,True,False,False
542,KFC GUTHRIE HOUSE,1.33081740087425,103.795692355521,F&B,True,False,False,False
1650,McDonald's Jurong West St 61,1.34159107979646,103.69702008582,F&B,False,False,True,False
1299,Yuhua Zone 1 RC,1.34372175045737,103.74022287906,Community,True,False,False,False
261,Chong Pang Zone 5 RC,1.43221789557252,103.834091375662,Community,True,False,False,False
983,Potong Pasir Zone 2 RC,1.33576029121741,103.865597002044,Community,True,False,False,False
1501,ABC Brickworks Market & Food Centre,1.28695274746774,103.808128011897,F&B,False,False,True,False
1156,THK FSC @ Bukit Panjang,1.3753321391964,103.769647292498,Welfare Organisation,True,False,False,False
1207,Singapore National Eye Centre NEW - L06,1.28108025146011,103.835736519141,Healthcare,True,False,False,False
1404,McDonald's Aljunied Ave 2,1.32052595673155,103.886159307862,F&B,False,False,True,False
795,Nee Soon Zone 9 RC,1.42767562160128,103.846523502778,Community,True,False,False,False
1465,MK Automobili Pte Ltd,1.33292969368805,103.894107726946,Commercial,False,True,False,False
131,Green Oval Park RC,1.38076797179957,103.938148547475,Community,True,False,False,False
1182,Tampines Changkat Zone 4 RC (Cafe Corner),1.35001073882934,103.952816065919,Community,True,False,False,False
1493,The Idea Laboratory Pte Ltd,1.33292969368805,103.894107726946,Commercial,False,True,False,False
1514,Bishan MRT - CCL,1.35070566850026,103.848078932848,Public Transport,False,False,True,False
133,HDB Hub,1.33214111914629,103.848326054144,Government,True,False,False,False
1753,Singapore Khalsa Association,1.31649300146865,103.856941467638,Welfare Organisation,False,False,False,True
497,NKF Tampines St 21,1.34980831956408,103.949577963711,Healthcare,True,False,False,False
10,AMS Supermart,1.36353416384199,103.750672681713,Commercial,True,False,False,False
863,Paya Lebar Zone 6 (Cafe Corner),1.3522334240083,103.882841648726,Community,True,False,False,False
1494,Tivoli Enterprise & Trading,1.31208929148587,103.910595040506,Commercial,False,True,False,False
1085,SGH BLK 7 - L01,1.27993968247,103.830721777631,Healthcare,True,False,False,False
379,Bishan Home for the Intellectually Disabled,1.34759123479257,103.855024634688,Welfare Organisation,True,False,False,False
1082,SGH BLK 6 Level 2,1.27993968247,103.830721777631,Healthcare,True,False,False,False
407,Keppel Bay Tower,1.26486180966003,103.818261307253,Commercial,True,False,False,False
920,SPD@Toa Payoh Blk 251,1.33154688393978,103.85701736552,Welfare Organisation,True,False,False,False
